station,laser_red,laser_blue,frequency,vgg_ste,order,station_id,point_id,full_path,session_date,fg5_file
kazt,632.9902745592,632.9912557308,9999999.997630203,0.006,first,kazt,417,C:\gData\gProjects\brigade_4\first_order\kazt\417,20230816,C:\gData\gProjects\brigade_4\first_order\kazt\417\absolute\20230816\raw\417_kazt.fg5
kege,632.9902734143,632.991255849,9999999.997893233,0.0,first,kege,1172,C:\gData\gProjects\brigade_4\first_order\kege\1172,20230705,C:\gData\gProjects\brigade_4\first_order\kege\1172\absolute\20230705\raw\1172.fg5
kege,632.9902734143,632.991255849,9999999.997893233,0.0,first,kege,1172,C:\gData\gProjects\brigade_4\first_order\kege\1172,20230705,C:\gData\gProjects\brigade_4\first_order\kege\1172\absolute\20230705\raw\1172_20230705.fg5
kkar,632.9902735506,632.9912558349,9999999.99786192,0.008,first,kkar,821,C:\gData\gProjects\brigade_4\first_order\kkar\821,20230710,C:\gData\gProjects\brigade_4\first_order\kkar\821\absolute\20230710\raw\821_20230710.fg5
kokp,632.9902735506,632.9912558349,9999999.99786192,0.001,first,kokp,850,C:\gData\gProjects\brigade_4\first_order\kokp\850,20230710,C:\gData\gProjects\brigade_4\first_order\kokp\850\absolute\20230710\raw\850_20230710.fg5
kosk,632.9902739322,632.9912557955,9999999.997774243,0.001,first,kosk,927,C:\gData\gProjects\brigade_4\first_order\kosk\927,20230724,C:\gData\gProjects\brigade_4\first_order\kosk\927\absolute\20230724\raw\927_20230724.fg5
kost,632.9902737414,632.9912558152,9999999.99781808,0.009,first,kost,902,C:\gData\gProjects\brigade_4\first_order\kost\0902,20230717,C:\gData\gProjects\brigade_4\first_order\kost\0902\absolute\20230717\raw\0902_20230717.fg5
krbl,632.9902737414,632.9912558152,9999999.99781808,0.003,first,krbl,8941,C:\gData\gProjects\brigade_4\first_order\krbl\8941,20230717,C:\gData\gProjects\brigade_4\first_order\krbl\8941\absolute\20230717\raw\8941_20230717.fg5
krmd,632.9902737414,632.9912558152,9999999.99781808,0.005,first,krmd,9148,C:\gData\gProjects\brigade_4\first_order\krmd\9148,20230717,C:\gData\gProjects\brigade_4\first_order\krmd\9148\absolute\20230717\raw\9148_20230717.fg5
kuls,632.9902746138,632.9912557252,9999999.997617677,0.029,first,kuls,114,C:\gData\gProjects\brigade_4\first_order\kuls\114,20230818,C:\gData\gProjects\brigade_4\first_order\kuls\114\absolute\20230818\raw\114_kuls.fg5
kyzy,632.9902748046,632.9912557055,9999999.997573838,0.006,first,kyzy,947,C:\gData\gProjects\brigade_4\first_order\kyzy\947,20230825,C:\gData\gProjects\brigade_4\first_order\kyzy\947\absolute\20230825\raw\947_kyzy.fg5
kzlt,632.9902739595,632.9912557927,9999999.99776798,0.004,first,kzlt,5993,C:\gData\gProjects\brigade_4\first_order\kzlt\5993,20230725,C:\gData\gProjects\brigade_4\first_order\kzlt\5993\absolute\20230725\raw\5993_kzlt.fg5
leni,632.9902748046,632.9912557055,9999999.997573838,0.005,first,leni,599,C:\gData\gProjects\brigade_4\first_order\leni\0599,20230824,C:\gData\gProjects\brigade_4\first_order\leni\0599\absolute\20230824\raw\0599_leni.fg5
mamb,632.990274641,632.9912557224,9999999.997611417,0.093,first,mamb,mamb,C:\gData\gProjects\brigade_4\first_order\mamb\mamb,20230819,C:\gData\gProjects\brigade_4\first_order\mamb\mamb\absolute\20230819\raw\mamb_mamb.fg5
myna,632.9902750499,632.9912556802,9999999.997529237,0.008,first,myna,143,C:\gData\gProjects\brigade_4\first_order\myna\0143,20230903,C:\gData\gProjects\brigade_4\first_order\myna\0143\absolute\20230903\raw\0143_myna.fg5
novo,632.9902737687,632.9912558124,9999999.99781182,0.008,first,novo,5013,C:\gData\gProjects\brigade_4\first_order\novo\5013,20230718,C:\gData\gProjects\brigade_4\first_order\novo\5013\absolute\20230718\raw\5013_20230718.fg5
