station;order;point;method;station_name;latitude;longitude;elevation;gravity_eff;ste_eff;h_eff;h_eff_plate;setup_height;tie;ste_tie;a;b;ua;ub;covab;gravity;total_uncert;expanded_uncert
inde;first;58;absolute;Inderborskij 58;48.5562;51.7342;-19.0;980875035.11;2.62;0.673;0.682;-0.009;;;-290.71;-5.01;1.66;1.15;-1.87;980875233.16;6.59;13.19
kara;first;979;absolute;Karazhal 979;48.0017;70.7874;431.0;980723914.29;0.72;0.673;0.683;-0.01;;;-335.21;12.04;2.58;1.78;-4.5;980724134.31;6.21;12.42
kark;first;957;absolute;Karkaralinsk 957;49.4115;75.4698;812.0;980754212.62;1.3;0.673;0.683;-0.01;;;-336.53;12.31;3.04;2.11;-6.28;980754433.41;6.38;12.76
kaul;first;805;absolute;Karaaul 805;48.947;79.2586;581.0;980768442.12;1.0;0.678;0.683;-0.005;;;-317.36;8.14;2.16;1.5;-3.18;980768653.53;6.19;12.38
kazt;first;417;absolute;Kaztalovka 417;49.7704;48.7453;2.0;981032180.37;1.14;0.672;0.682;-0.01;;;-319.04;7.28;2.05;1.41;-2.83;981032391.46;6.2;12.4
kege;first;1172;absolute;Kegen 1172;43.0145;79.2253;1804.0;979867154.64;0.56;0.668;0.683;-0.015;;;-297.67;-9.22;0.19;0.13;-0.02;979867357.82;6.0;11.99
kkar;first;821;absolute;Katon-Karagaj 821;49.1697;85.6085;1015.0;980591155.47;1.19;0.683;0.683;0.0;;;-318.13;13.81;4.73;3.29;-15.24;980591366.35;6.7;13.41
kokp;first;850;absolute;Kokpekty 850;48.7548;82.385;484.0;980768409.37;0.43;0.678;0.683;-0.005;;;-335.45;22.66;1.33;0.92;-1.2;980768626.28;6.04;12.07
kosk;first;927;absolute;Koskol' 927;47.5825;64.5592;88.0;980779563.84;1.36;0.673;0.683;-0.01;;;-333.53;15.02;0.47;0.33;-0.15;980779781.35;6.13;12.26
kost;first;902;absolute;Kostanaj 902;53.2209;63.6251;151.0;981281385.03;1.52;0.67;0.683;-0.013;;;-305.54;8.7;3.78;2.59;-9.62;981281585.72;6.57;13.15
krbl;first;8941;absolute;Karabalyk 8941;53.7474;62.0636;168.0;981311087.28;0.82;0.67;0.683;-0.013;;;-291.15;10.0;1.3;0.9;-1.16;981311277.73;6.08;12.15
krmd;first;9148;absolute;Karamendy 9148;51.6581;64.2177;193.0;981126384.34;0.6;0.683;0.683;0.0;;;-303.95;12.11;2.76;1.91;-5.17;981126586.33;6.22;12.44
kuls;first;114;absolute;Kul'sary 114;47.0119;54.0242;-33.0;980778061.63;1.21;0.672;0.682;-0.01;;;-319.16;3.12;4.08;2.83;-11.31;980778274.74;6.57;13.14
kyzy;first;947;absolute;Kyzylorda 947;44.8287;65.5311;92.0;980541120.68;2.11;0.667;0.682;-0.015;;;-347.41;22.29;5.47;3.79;-20.35;980541342.13;7.15;14.3
kzlt;first;5993;absolute;Kyzyltu 5993;49.4894;67.0363;428.0;980868483.67;4.69;0.893;0.683;0.21;;;-305.96;-23.41;4.4;3.1;-13.33;980868766.82;7.81;15.62
leni;first;599;absolute;Leninsk 599;45.63696;63.32705;72.0;980622054.96;0.53;0.692;0.682;0.01;;;-350.2;14.85;3.16;2.18;-6.74;980622290.47;6.27;12.54
mamb;first;mamb;absolute;Mambek mamb;44.0851;53.7069;218.0;980471716.14;2.33;0.882;0.682;0.2;;;-303.78;0.64;2.86;1.96;-5.52;980471983.79;6.52;13.04
myna;first;143;absolute;Mynaral 143;45.4277;73.6812;302.0;980518375.32;1.1;0.672;0.682;-0.01;;;-320.22;7.67;2.67;1.86;-4.86;980518587.02;6.28;12.56
novo;first;5013;absolute;Novoishimka 5013;53.2056;66.8105;155.0;981299658.64;0.69;0.666;0.683;-0.017;;;-285.42;3.85;1.57;1.09;-1.67;981299846.97;6.08;12.17
nsul;first;63;absolute;Nur-Sultan 63;51.2565;71.2789;305.0;981078623.3;1.26;0.813;0.683;0.13;;;-310.34;0.57;3.21;2.24;-7.03;981078875.38;6.3;12.59
pavl;first;630;absolute;Pavlodar 630;52.1546;77.0628;88.0;981212684.9;0.84;0.67;0.683;-0.013;;;-324.82;6.42;1.69;1.16;-1.92;981212899.58;6.11;12.23
petr;first;5003;absolute;Petropavlovsk 5003;54.8351;69.1713;107.0;981462748.81;2.21;0.812;0.683;0.129;;;-313.46;4.13;2.17;1.51;-3.22;981463001.52;6.45;12.9
proz;first;akag;absolute;Akagash Zal. akag;46.031;73.6421;325.0;980580206.5;1.2;0.822;0.682;0.14;;;-275.43;-35.24;3.02;2.12;-6.29;980580448.63;6.26;12.51
sagy;first;1264;absolute;Sagyz 1264;48.2311;54.8656;15.0;980847077.21;1.02;0.677;0.682;-0.005;;;-261.24;11.99;1.47;1.02;-1.46;980847248.56;6.12;12.24
sayk;first;122;absolute;Sajkyn 122;48.8176;46.7644;4.0;980941957.17;1.6;0.674;0.682;-0.008;;;-319.13;10.3;3.29;2.28;-7.36;980942167.55;6.49;12.98
seng;first;seng;absolute;Sengirbaj seng;49.8182;60.8202;231.0;980953877.22;2.73;0.892;0.682;0.21;;;-253.57;-32.55;3.75;2.65;-9.75;980954117.11;6.74;13.49
shar;first;99;absolute;Sharbakty 99;51.4065;78.2749;126.0;981131783.7;1.26;0.666;0.683;-0.017;;;-309.0;2.29;4.49;3.11;-13.7;981131988.48;6.69;13.38
shas;first;999;absolute;Shashubaj 999;46.8076;75.0246;305.0;980649608.83;1.05;0.702;0.682;0.02;;;-337.97;5.13;2.75;1.92;-5.17;980649843.77;6.26;12.53
shu;first;119;absolute;Shu 119;43.6053;73.7511;427.0;980304620.43;1.29;0.677;0.682;-0.005;;;-319.3;11.29;1.46;1.01;-1.44;980304831.43;6.17;12.34
tals;first;3301;absolute;Talshik 3301;53.6336;71.8589;49.0;981344531.11;1.46;0.663;0.683;-0.02;;;-301.14;2.76;2.4;1.66;-3.91;981344729.51;6.32;12.64
tara;first;127;absolute;Taraz 127;42.8929;71.3238;596.0;980189004.3;0.62;0.676;0.682;-0.006;;;-310.57;3.05;1.36;0.94;-1.26;980189212.91;6.06;12.11
tkud;first;tkud;absolute;Tastalgan-Kuduk tkud;45.3349;52.0752;-38.0;980664507.76;0.64;0.832;0.682;0.15;;;-269.32;-30.72;2.25;1.58;-3.5;980664745.44;6.09;12.19
torg;first;9333;absolute;Torgaj 9333;49.6343;63.4892;93.0;980975351.36;0.89;0.67;0.683;-0.013;;;-273.25;10.12;1.49;1.03;-1.5;980975529.75;6.1;12.2
ukam;first;1402;absolute;Ust'-Kamenogorsk  1402;49.9704;82.606;247.0;980929693.1;1.29;0.728;0.683;0.045;;;-327.69;14.18;4.34;3.02;-12.84;980929925.13;6.57;13.13
ulan;first;137;absolute;Ulanbel' 137;44.823;71.1346;220.0;980478630.66;0.67;0.672;0.682;-0.01;;;-316.14;0.52;1.4;0.98;-1.35;980478842.94;6.07;12.13
unk1;first;unk1;absolute;Bez nazvanija unk1;47.312;51.3263;-40.0;980792479.42;1.7;0.792;0.682;0.11;;;-290.44;-12.67;5.72;4.02;-22.53;980792715.22;6.83;13.67
usha;first;1209;absolute;Usharal 1209;46.1748;80.9522;345.0;980519091.4;0.32;0.673;0.683;-0.01;;;-265.36;-22.92;6.76;4.71;-31.21;980519280.72;7.24;14.48
usht;first;1325;absolute;Ushtobe 1325;45.2678;77.984;380.0;980425488.45;2.73;0.673;0.683;-0.01;;;-351.03;42.63;6.24;4.34;-26.54;980425704.85;7.57;15.14
